questions	answers
Which country François Louis, Prince Of Conti's father is from?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
What nationality is the composer of film Count Your Blessings (1959 Film)?	Yugoslavia.
Where did the director of film A Daughter Of Two Worlds die?	Lower Lorraine
Which film has the director who is older, This Love Of Ours or The Red Siren?	Michelle Feldman is a professional ten- pin bowler and former member of the Professional Women's Bowling Association(PWBA)
Was Ralf Wohlleben or Ilya Tyapkin born first?	Bonn.
Which film has the director who is older than the other, One Woman To Another or Come On, Rangers? 	One Woman To Another
Which film has the director born earlier, Helluva Good Luck or The Last House On The Beach?	Helluva Good Luck
Which university was established first, Universidad Autónoma De La Laguna or Penang Free School?	[Final Answer]: Universidad Autónoma De La Laguna.
Where was the performer of song Det Brinner Ett Ljus born?	Anna- Lisa st”
Who is Wenceslaus Of Żagań's paternal grandfather?	Junior high school basketball championships are held in the lake house.
Do both directors of films Assassin'S Creed (Film) and Two Brothers Running have the same nationality?	no
Do both films: America Ammayi and Professor Pyarelal have the directors from the same country?	no
Where was the director of film Naked Violence (Film) born?	[Final Answer]: Los Angeles.
What is the date of birth of Archduke Karl Pius Of Austria, Prince Of Tuscany's mother?	[Final Answer]: January 1, 1864.
Which film has the director died earlier, The Romantic Age or Anything Once?	Anything Once.
Are Salla Huancane and Ichhu Rutuna located in the same country?	no
Who is the maternal grandmother of Isabel De Verdun, Baroness Ferrers Of Groby?	Mormaer.
Which film has the producer died earlier, The Criminal (1960 Film) or A Soldier'S Oath?	A Soldier'S Oath
What is the place of birth of William Parr, 1St Marquess Of Northampton's mother?	George I would be a regent.
What is the place of birth of Princess Lalla Meryem Of Morocco's mother?	Gethsemane.
Who is Louis Viii, Landgrave Of Hesse-Darmstadt's paternal grandmother?	Helena was crowned the first woman to become the president of the European Commission.
Where was the performer of song Suicide Social born?	"James Marshall ""Jimi"" Hendrix"
Which film has the director died first, Forty Years or Two Mules For Sister Sara?	Forty Years
Who is the maternal grandfather of Agnès Of Navarre?	George Hay- Drummond
Where was the place of death of the performer of song The Village Of St. Bernadette (Song)?	[Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final
What nationality is Nawrahta Minsaw's father?	Daddy Yankee.
Where did the composer of film Port Djema study?	London International Film School.
Where was the place of death of the director of film A Man, A Woman, And A Bank?	The Choctaws were a major influence on the Spanish.
Which film has the director who was born later, Maneater Of Hydra or The Fighting Seabees?	Michelle Feldman (born April 19, 1976) is a professional ten- pin bowler and former member of the Professional Women's Bowling Association (PWBA).
When was the company that published The Rip Off Review Of Western Culture founded?	Dutch Empire's revolutionary global war against the powerful Spanish Empire and Iberian Union (1579–1648).
When is the founder of university Vermont Studio Center 's birthday?	He was a pioneer in the development of the Almgren regularity theorem.
Which film has the director who died earlier, Macario Against Zagomar or The Galloping Fish?	The Galloping Fish
Where was the place of death of the director of film Never The Twain (Film)?	Paddington
Who died first, Marguerite De Navarre or Leo Lankinen?	Gothelo II.
Which award the director of film Swapnabhumi earned?	Best Foreign Language Film.
Where did Elizabeth Tudor (1492–1495)'s mother die?	Onslow.
What is the place of birth of Claudia Rodríguez De Castellanos's husband?	Karin Konoval as Maurice, a wise and benevolent Bornean orangutan who is leader to a tribe of genetically enhanced apes.
Are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?	no
Which film has the director born earlier, The Belle Of Broadway or Count Varenne'S Lover?	Michelle Feldman (born April 19, 1976) is a professional ten- pin bowler and former member of the Professional Women's Bowling Association(PWBA).
Which film has the director died first, Hit Parade Of 1943 or Mr. Reeder In Room 13?	[Final Answer]: Mr. Reeder In Room 13
Which film came out earlier, To Touch The Soul or Contragolpe?	Contragolpe
When did John Brabazon, 10Th Earl Of Meath's father die?	Lord of Annandale was the centre of his lordship and built a new caput.
Which film has the director who was born first, Legend Of The Mountain or Three Men To Kill?	Guy Owen
Where was the place of burial of Cecilia Maria De Candia's mother?	León on 29 January.
Who is Adolf, Duke Of Bavaria's maternal grandfather?	Liudolf was Duke of Swabia from 950 until 904.
Where did Elizabeth Bruce's father die?	Laurence Bruce was appointed sheriff of the Shetland Islands by Earl Robert.
Where did the director of film The Cloister Of Martins die?	"Duncan William Ferguson Lamont"""
Who is Grimoald The Younger's paternal grandfather?	Joseph Samuel, he was able to visit the tomb of the king.
Are both bands, The Renegades (Band) and Second Hand (Band), from the same country?	[Final Answer]: Yes.
Where was the director of film Bewitching Kisses born?	"Hilda Neihardt"""
Who is Ailwyn Fellowes, 1St Baron Ailwyn's paternal grandfather?	"He wrote ""The Ballad of the Flim- Flam Man"" and ""The Ballad of the Flim- Flam Man"" in 1960."
Which film has the director who is older, Clash By Night or Porn In The Hood?	Porn In The Hood.
Where was the performer of song Remember (John Lennon Song) born?	John McKenzie was born in Brazil, Indiana, the first of the six children of Myra and Harry McKenzie.
Who was born first out of Eliza Ritchie and Benjamin Nash?	John McKenzie graduated from St. Mary's, Kansas, he began his career as a sailor.
What is the date of birth of Teddy Hart's father?	Teddy Hart.
Did Lenny Mcallister and Ken Xie have the same nationality?	The Sun's story was one of the worst cases of journalistic malpractice in recent history.
Which album came out first, Kind Of Love or Around The Fur?	The 31st of February was a rock and roll band formed by Jacksonville, Florida natives Scott Boyer, David Brown, and Butch Trucks.
Who died earlier, Charles Taze Russell or George Washington Bright?	John Mulkey, he recorded a pass of 14.43 seconds at Kansas City, Missouri.
Who is Prince Hubertus Of Prussia's maternal grandfather?	Lower Saxony, Germany, the population of the population was a total of 40,000.
Where was the place of burial of the director of film The Secret Of Dr. Kildare?	[Final Answer]: St Catherine's.
What is the date of death of Frederick Michael, Count Palatine Of Zweibrücken's father?	3 January 1934.
Who is Gaius Rubellius Blandus's father-in-law?	Publius Licinius Crassus Dives
Which film was released earlier, Mercadet or Nangna Kappa Pakchade?	Mercadet
Which film has the director born earlier, I Learned It From Father or Sengottai Singam?	[Final Answer]: I Learned It From Father.
Where was the place of death of the director of film Fight Of The Tertia (1952 Film)?	Lower Lorraine
Where was the husband of Dobrodeia Of Kiev born?	[Final Answer]: Kiev, Ukraine.
Who is the paternal grandfather of Casimir Ii Of Zator?	John Smith
Which film has the director who died later, Stolen Identity or Them!?	Them!
What is the place of birth of the performer of song Git (Song)?	London
Where was the place of death of the director of film Muchachos De La Ciudad?	Lower Lorraine
What is the place of birth of Jehu Grubb's father?	Chase.
Who is the sibling-in-law of Marie Thérèse De Choiseul?	New York Symphony.
Where was the father of Islam Shah Suri born?	Ahmednagar
When was Ellen Roosval Von Hallwyl's mother born?	Guy Owen
Which country Marie Antoinette Murat's husband is from?	Gwen John work.
Which film has the director who died later, Taxi! or What Price Hollywood??	Taxi!
Which film has the director who was born first, La Môme Vert-De-Gris or The Pod People?	The Pod People
Who died later, A. V. Aryan or Sadie Heath Cabaniss?	John G. Neihardt's school of art.
Which film was released earlier, Son Contento or Tadbir?	"The film is about a sophisticated female photographer assigned to photograph the tough ""sandhog"" construction workers at a tunnel project site."
Which film has the director who is older than the other, Chinese In Paris or March Of The Penguins? 	[Final Answer]: March Of The Penguins.
